name,color,rarity,numberPicks,averagePick,gamesPlayed,playedPercentage,winrate
Longhorn Sharpshooter,R,U,20343,3.72,109403,89.6,54.4
Murder,B,U,20099,3.74,108812,91.4,53.8
Stubborn Burrowfiend,G,U,28870,3.76,163606,92.0,56.6
Collective Defiance,R,R,3998,3.84,19598,83.0,53.4
"Marchesa, Dealer of Death",UBR,R,8967,3.95,34845,67.2,50.8
Marauding Sphinx,U,U,22345,4.01,113998,86.2,53.6
Tarnation Vista,C,M,2714,4.04,14542,90.9,52.8
Throw from the Saddle,G,C,68560,4.06,394270,93.4,56.7
Thoughtseize,B,M,1900,4.07,8171,73.4,52.4
Congregation Gryff,WG,U,24181,4.1,128769,86.2,57.1
Akul the Unrepentant,BR,R,6746,4.1,25683,65.9,51.3
Desert,C,M,664,4.13,3131,80.2,53.4
Villainous Wealth,UBG,R,6396,4.13,28862,77.6,52.0
"Miriam, Herd Whisperer",WG,U,24100,4.15,123043,82.6,57.2
Electrodominance,R,R,3522,4.24,16198,78.5,52.1
Trash the Town,G,U,24820,4.25,135766,89.3,56.4
"Kambal, Profiteering Mayor",WB,R,7678,4.27,30488,67.6,52.8
"Fblthp, Lost on the Range",U,R,6516,4.3,25220,68.8,48.4
Mindslaver,C,M,2026,4.3,7316,62.8,51.0
Mystical Tether,W,C,57457,4.38,319723,91.8,55.6
One Last Job,W,R,7315,4.41,29444,67.5,54.5
Consuming Ashes,B,C,62012,4.44,336563,90.3,54.8
Mystic Snake,UG,M,787,4.48,2782,59.1,52.4
Hardbristle Bandit,G,C,53708,4.58,294646,91.0,55.1
Frontier Seeker,W,U,23474,4.61,123372,85.8,56.8
Slickshot Lockpicker,U,U,24241,4.64,121889,85.8,52.8
Servant of the Stinger,B,U,23414,4.65,125022,89.3,54.6
"Malcolm, the Eyes",UR,R,7577,4.65,28057,63.5,51.9
Outlaw Stitcher,U,U,22030,4.66,106421,83.5,51.6
Notion Thief,UB,M,701,4.67,1970,51.1,45.2
Rambling Possum,G,U,22323,4.68,121143,90.1,55.1
Rakdos Joins Up,BR,R,6644,4.79,22781,58.9,51.9
Repulse,U,U,23479,4.81,120025,86.2,53.7
"Satoru, the Infiltrator",UB,R,8035,4.84,26801,57.6,51.1
Back for More,BG,U,27297,4.85,129317,78.8,55.0
Stoneforge Mystic,W,M,638,4.85,1142,30.3,53.3
Desert's Due,B,C,67050,4.89,360607,89.2,54.9
Scalestorm Summoner,R,U,17919,4.91,85602,79.7,54.4
Getaway Glamer,W,U,25220,4.92,130368,84.3,56.6
Ancient Cornucopia,G,M,2330,4.93,7656,56.3,50.7
Scorching Shot,R,U,17431,4.93,87452,84.5,53.5
"Ghired, Mirror of the Wilds",WRG,M,3295,4.93,9025,46.7,53.2
Cactarantula,G,C,58606,4.94,321718,90.3,55.5
Spinewoods Paladin,G,C,61815,5.0,350687,93.3,55.7
Prosperity Tycoon,W,U,24601,5.0,126607,84.0,56.5
Crime // Punishment,WBG,M,2305,5.01,8082,60.2,52.4
